model,n_qubits,n_qlayers,entanglement,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,train_time_mean,train_time_std
qlstm,3.0,1.0,False,0.874,0.022161026851459577,0.8737581177946755,0.022035650645526383,0.8753970270523281,0.020626587176945158,0.8741452991452991,0.02075562842664738,250.45281203999184,15.80935997676544
qlstm,3.0,1.0,True,0.8706666666666667,0.03443189735631129,0.870145762054561,0.0347133051388801,0.8744024873772845,0.02844279570770213,0.8708333333333333,0.03240357932291841,240.7180272800033,0.7225056425820061
qlstm,3.0,2.0,False,0.8693333333333333,0.017857460314638498,0.8691458960814842,0.01768971029210272,0.8701857899047827,0.01734109306607714,0.8695512820512821,0.01679148520421673,322.8349580799928,9.487504935159475
qlstm,3.0,2.0,True,0.8466666666666667,0.0291547594742265,0.8453956745985266,0.02945981577047821,0.8572191173818297,0.02467387589138489,0.8471153846153847,0.027271463242270897,349.55502252001315,18.895149043701736
qlstm,4.0,1.0,False,0.8473333333333333,0.05702825810264787,0.8453539571607788,0.05899509944026548,0.8600619553889788,0.04298556869013728,0.8474893162393162,0.05361010084961056,323.5176964399405,18.732189790972985
qlstm,4.0,1.0,True,0.8386666666666667,0.04537498086929501,0.8370446277201558,0.04569935419108721,0.8538829228744111,0.041018290276559996,0.8396901709401708,0.04105757207003262,326.51655062001663,0.4062387804427195
qlstm,4.0,2.0,False,0.8640000000000001,0.03569936196130742,0.8635636775955907,0.03593089694439364,0.8684110582609051,0.030144336104273667,0.8648504273504274,0.03338461531623493,428.11656383997763,4.327335756726701
qlstm,4.0,2.0,True,0.8586666666666666,0.04845387268090942,0.8576015170244926,0.04928234973895887,0.8667256545998356,0.03967729055818507,0.8589209401709402,0.04531925163060183,484.9192184000276,5.545545046671336
qlstm,5.0,1.0,False,0.866,0.014981470036162813,0.8651348429374315,0.016276776788307485,0.8709823474360538,0.009427943406253634,0.865491452991453,0.016552934875908355,392.91499122000005,8.918747261851063
qlstm,5.0,1.0,True,0.8379999999999999,0.056005952064639195,0.8364340079679801,0.05750398405609222,0.8518093650396438,0.042828601092512596,0.8401175213675213,0.05213966655455935,427.11489938000005,6.060626009732474
